,name,type,address,lng,lat,province,city,district,Unnamed: 8
8486,惠安新居,商务住宅;住宅区;住宅小区,振兴路111号,118.650299,31.923314,江苏省,南京市,雨花台区,
8487,正达公寓,商务住宅;住宅区;住宅小区,龙飞路6号,118.648724,31.923143,江苏省,南京市,雨花台区,
8488,金叶花园南门(南京),商务住宅;商务住宅相关;商务住宅相关,振兴路与青年路交叉口东50米,118.649968,31.9242,江苏省,南京市,雨花台区,
8489,凤凰山庄,商务住宅;住宅区;别墅,龙飞路88号消防训练基地,118.64789,31.920659,江苏省,南京市,雨花台区,
8490,近华新村小区,商务住宅;住宅区;住宅小区,板桥镇,118.650297,31.921144,江苏省,南京市,雨花台区,
8491,板桥新村,商务住宅;住宅区;住宅小区,板桥镇振兴路1号,118.660594,31.9212,江苏省,南京市,雨花台区,
8492,向阳雅居,商务住宅;住宅区;住宅小区,板桥镇振兴路1号,118.661636,31.923673,江苏省,南京市,雨花台区,
8493,胜利南苑,商务住宅;住宅区;住宅小区,雄风路40号,118.660062,31.919853,江苏省,南京市,雨花台区,
8494,板桥新村北区,商务住宅;住宅区;住宅小区,振兴路1-17号附近,118.659436,31.922494,江苏省,南京市,雨花台区,
8495,古雄大厦,商务住宅;楼宇;商务写字楼,宁谷路与新亭大街交叉口西50米,118.664911,31.918967,江苏省,南京市,雨花台区,
8496,蓝光公园1号(建设中),商务住宅;住宅区;住宅小区,新湖大道北,118.666793,31.919113,江苏省,南京市,雨花台区,
8497,和昌·湾景,商务住宅;住宅区;住宅小区,新亭大街与新湖大道交叉口东北角,118.668203,31.918262,江苏省,南京市,雨花台区,
8498,富力尚悦居,商务住宅;住宅区;住宅小区,新城新湖大道与荆雄路交汇处,118.674986,31.916664,江苏省,南京市,雨花台区,
8499,河海大学江宁校区宿舍20号楼,商务住宅;住宅区;宿舍,松辽路附近,118.782683,31.914393,江苏省,南京市,江宁区,
8500,九间堂1期,商务住宅;住宅区;别墅,南海路与康厚街交叉口北150米,118.780735,31.915132,江苏省,南京市,江宁区,
8501,揽翠山庄,商务住宅;住宅区;住宅区,将军大道康厚街6号,118.78162,31.91707,江苏省,南京市,江宁区,
8502,河海大学江宁校区女生公寓,商务住宅;住宅区;宿舍,佛城西路8号河海大学江宁校区,118.783481,31.916432,江苏省,南京市,江宁区,
8503,河海大学江宁校区17栋,商务住宅;住宅区;宿舍,康厚街附近,118.781904,31.915239,江苏省,南京市,江宁区,
8504,河海大学江宁校区四期学生公寓,商务住宅;住宅区;宿舍,佛城西路8号河海大学江宁校区,118.783092,31.915609,江苏省,南京市,江宁区,
8505,河海大学江宁校区-学生公寓11、12舍,商务住宅;住宅区;宿舍,太湖路与长江路交叉口西北50米,118.783715,31.915831,江苏省,南京市,江宁区,
8506,河海大学江宁校区-学生公寓15、16舍,商务住宅;住宅区;宿舍,松辽路与黄海路交叉口西南100米,118.782433,31.915801,江苏省,南京市,江宁区,
8507,河海大学江宁校区-学生公寓13、14舍,商务住宅;住宅区;宿舍,松辽路与黄海路交叉口西南50米,118.78281,31.915827,江苏省,南京市,江宁区,
8508,河海大学江宁校区宿舍11号楼,商务住宅;住宅区;宿舍,佛城西路8号河海大学江宁校区,118.78372,31.915805,江苏省,南京市,江宁区,
8509,河海大学江宁校区宿舍12号楼,商务住宅;住宅区;宿舍,佛城西路8号河海大学江宁校区,118.78372,31.915805,江苏省,南京市,江宁区,
8510,河海大学江宁校区宿舍15号楼,商务住宅;住宅区;宿舍,佛城西路8号河海大学江宁校区,118.782133,31.915938,江苏省,南京市,江宁区,
8511,河海大学学生江宁校区宿舍9号楼,商务住宅;住宅区;宿舍,佛城西路8号河海大学江宁校区,118.78373,31.91664,江苏省,南京市,江宁区,
8512,河海大学学生江宁校区宿舍10号楼,商务住宅;住宅区;宿舍,佛城西路8号河海大学江宁校区,118.783448,31.916396,江苏省,南京市,江宁区,
8513,河海大学学生江宁校区宿舍16号楼,商务住宅;住宅区;宿舍,佛城西路8号河海大学江宁校区,118.782028,31.915547,江苏省,南京市,江宁区,
8514,河海大学学生江宁校区宿舍13号楼,商务住宅;住宅区;宿舍,佛城西路8号河海大学江宁校区,118.782844,31.91595,江苏省,南京市,江宁区,
8515,河海大学学生江宁校区宿舍14号楼,商务住宅;住宅区;宿舍,佛城西路8号河海大学江宁校区,118.782814,31.915549,江苏省,南京市,江宁区,
8516,益社区,商务住宅;住宅区;住宅小区,将军大道58号附近,118.79022,31.919599,江苏省,南京市,江宁区,
8517,山水华门,商务住宅;住宅区;住宅小区,将军大道58号(近河海大学),118.786853,31.919215,江苏省,南京市,江宁区,
8518,河海大学江宁校区三期学生公寓,商务住宅;住宅区;宿舍,佛城西路8号河海大学江宁校区,118.787332,31.916864,江苏省,南京市,江宁区,
8519,河海大学江宁校区男生公寓,商务住宅;住宅区;宿舍,佛城西路8号河海大学江宁校区,118.784948,31.91756,江苏省,南京市,江宁区,
8520,翠湖花园(国检路),商务住宅;住宅区;住宅小区,将军大道109号,118.793603,31.91907,江苏省,南京市,江宁区,
8521,名家花园南区,商务住宅;住宅区;别墅,翠屏山路9号,118.787564,31.923281,江苏省,南京市,江宁区,
8522,瑞景文华,商务住宅;住宅区;住宅小区,秣陵街道将军大道50号,118.79022,31.923857,江苏省,南京市,江宁区,
8523,江南文枢苑,商务住宅;住宅区;住宅小区,将军大道99号,118.793084,31.923093,江苏省,南京市,江宁区,
8524,领秀1+1,商务住宅;楼宇;商务写字楼,江宁开发区将军大道50号,118.788244,31.923384,江苏省,南京市,江宁区,
8525,岭秀苑,商务住宅;商务住宅相关;商务住宅相关,将军大道58号,118.790536,31.91961,江苏省,南京市,江宁区,
8526,河海大学学生江宁校区宿舍4号楼,商务住宅;住宅区;宿舍,佛城西路8号河海大学江宁校区,118.78757,31.917503,江苏省,南京市,江宁区,
8527,河海大学学生江宁校区宿舍3号楼,商务住宅;住宅区;宿舍,佛城西路8号河海大学江宁校区,118.787503,31.917221,江苏省,南京市,江宁区,
8528,河海大学学生江宁校区宿舍5号楼,商务住宅;住宅区;宿舍,佛城西路8号河海大学江宁校区,118.78679,31.917546,江苏省,南京市,江宁区,
8529,河海大学学生江宁校区宿舍2号楼,商务住宅;住宅区;宿舍,佛城西路8号河海大学江宁校区,118.787351,31.916885,江苏省,南京市,江宁区,
8530,河海大学学生江宁校区宿舍6号楼,商务住宅;住宅区;宿舍,佛城西路8号河海大学江宁校区,118.786084,31.917513,江苏省,南京市,江宁区,
8531,河海大学江宁校区宿舍1号楼,商务住宅;住宅区;宿舍,佛城西路8号河海大学江宁校区,118.78724,31.916546,江苏省,南京市,江宁区,
8532,河海大学学生江宁校区宿舍7号楼,商务住宅;住宅区;宿舍,佛城西路8号,118.785456,31.917521,江苏省,南京市,江宁区,
8533,河海大学学生江宁校区宿舍8号楼,商务住宅;住宅区;宿舍,佛城西路8号,118.785116,31.917576,江苏省,南京市,江宁区,
8534,山水华门别墅园(南门),商务住宅;商务住宅相关;商务住宅相关,佛城西路8号河海大学江宁校区河海大学学生江宁校区宿舍4号楼附近,118.787507,31.917918,江苏省,南京市,江宁区,
8535,爱涛漪水园,商务住宅;住宅区;别墅,开发区爱涛路18号,118.799213,31.919052,江苏省,南京市,江宁区,
8536,水韵别墅,商务住宅;住宅区;别墅,佛城东路88号(地铁站),118.799883,31.915619,江苏省,南京市,江宁区,
8537,爱涛丽舍,商务住宅;住宅区;住宅小区,爱涛路18号,118.798109,31.921359,江苏省,南京市,江宁区,
8538,乐天湖畔别墅聚会派对,商务住宅;住宅区;住宅区,爱涛路18号听涛苑19栋,118.798746,31.921019,江苏省,南京市,江宁区,
8539,颐和美地西园,商务住宅;住宅区;住宅小区,开发区苏源大道8号,118.804916,31.921611,江苏省,南京市,江宁区,
8540,颐和公馆,商务住宅;住宅区;住宅小区,江宁开发区佛城东路98号,118.812073,31.920333,江苏省,南京市,江宁区,
8541,颐和美地东园,商务住宅;住宅区;住宅小区,江宁开发区苏源大道8号、9号,118.811678,31.922227,江苏省,南京市,江宁区,
8542,九龙湖别墅,商务住宅;住宅区;别墅,开发区清水亭西路188号(纺织工业园内),118.806604,31.914458,江苏省,南京市,江宁区,
8543,颐和美地美辰苑,商务住宅;住宅区;住宅小区,苏源大道,118.809864,31.922285,江苏省,南京市,江宁区,
8544,金聚龙大厦,商务住宅;楼宇;商务写字楼,高湖路9号,118.810114,31.92419,江苏省,南京市,江宁区,
8545,和畅居,商务住宅;住宅区;住宅小区,苏源大道9号,118.812971,31.92127,江苏省,南京市,江宁区,
8546,新城尚郡,商务住宅;住宅区;住宅区,九龙湖版块,118.80801,31.920792,江苏省,南京市,江宁区,
8547,颐合美地,商务住宅;商务住宅相关;商务住宅相关,秣陵街道苏源大道8号,118.808824,31.922553,江苏省,南京市,江宁区,
8548,颐和美的丰苑,商务住宅;商务住宅相关;商务住宅相关,苏源大道9号,118.808824,31.922553,江苏省,南京市,江宁区,
8549,何雅居,商务住宅;商务住宅相关;商务住宅相关,苏源大道8号,118.808242,31.921806,江苏省,南京市,江宁区,
8550,颐和美地(北门),商务住宅;商务住宅相关;商务住宅相关,颐和美地西园,118.804995,31.923786,江苏省,南京市,江宁区,
8551,姬和美地,商务住宅;商务住宅相关;商务住宅相关,苏源大道8号,118.808242,31.921806,江苏省,南京市,江宁区,
8552,美嘉苑,商务住宅;商务住宅相关;商务住宅相关,苏源大道8号,118.808242,31.921806,江苏省,南京市,江宁区,
8553,中国人家,商务住宅;住宅区;住宅小区,高湖路61号(公交车站),118.816543,31.922248,江苏省,南京市,江宁区,
8554,俊杰科创大厦,商务住宅;楼宇;商务写字楼,清水亭西路长亭街9号,118.823548,31.916199,江苏省,南京市,江宁区,
8555,玉登园,商务住宅;住宅区;住宅小区,马浦街,118.818768,31.921968,江苏省,南京市,江宁区,
8556,乐恵大厦(建设中),商务住宅;楼宇;商务写字楼,清水亭西路34号附近,118.816262,31.915317,江苏省,南京市,江宁区,
8557,玉鉴园,商务住宅;住宅区;住宅小区,马浦街,118.819229,31.922457,江苏省,南京市,江宁区,
8558,天目水秀府,商务住宅;住宅区;别墅,经济开发区牧浦街9号,118.814158,31.920476,江苏省,南京市,江宁区,
8559,代理点大象社区,商务住宅;住宅区;住宅小区,高湖路88号,118.822053,31.923808,江苏省,南京市,江宁区,
8560,水闲居,商务住宅;商务住宅相关;商务住宅相关,高湖路61号,118.815804,31.924025,江苏省,南京市,江宁区,
8561,风疏居,商务住宅;商务住宅相关;商务住宅相关,高湖路61号,118.815804,31.924025,江苏省,南京市,江宁区,
8562,殷巷打工楼,商务住宅;住宅区;住宅区,殷富街,118.830904,31.914586,江苏省,南京市,江宁区,
8563,万科·金域蓝湾(清水亭东路),商务住宅;住宅区;住宅小区,清水亭东路9号,118.833322,31.920654,江苏省,南京市,江宁区,
8564,殷富商业街2幢B楼,商务住宅;住宅区;住宅区,殷华街2208号附近,118.830691,31.914704,江苏省,南京市,江宁区,
8565,万科翡翠公园,商务住宅;住宅区;住宅小区,双龙大道1699号,118.82728,31.920542,江苏省,南京市,江宁区,
8566,银城·千花溪,商务住宅;住宅区;住宅小区,秣陵街道清水亭东路10号(清水亭东路与殷华街交汇处),118.83062,31.917307,江苏省,南京市,江宁区,
8567,润龙锦园,商务住宅;住宅区;住宅小区,殷华街36号,118.831148,31.916133,江苏省,南京市,江宁区,
8568,博琳大厦,商务住宅;楼宇;商务写字楼,双龙大道2188-1号,118.827096,31.915463,江苏省,南京市,江宁区,
8569,中榕大厦,商务住宅;楼宇;商务写字楼,双龙大道2188号,118.82729,31.915399,江苏省,南京市,江宁区,
8570,智员工之家,商务住宅;商务住宅相关;商务住宅相关,殷富商业街6栋03,118.831512,31.915287,江苏省,南京市,江宁区,
8571,殷富商业街2幢A楼,商务住宅;住宅区;住宅区,殷华街2208号附近,118.831105,31.914574,江苏省,南京市,江宁区,
8572,万科·金域蓝湾(西南门),商务住宅;商务住宅相关;商务住宅相关,清水亭东路9号68幢附近,118.833029,31.918919,江苏省,南京市,江宁区,
8573,南京恒大绿洲北区,商务住宅;住宅区;住宅小区,秣陵街道清水亭东路158号,118.842086,31.915379,江苏省,南京市,江宁区,
8574,骏景华庭(铺岗街),商务住宅;住宅区;住宅小区,经济技术开发区秣陵街道铺岗街28号,118.834242,31.917725,江苏省,南京市,江宁区,
8575,潭桥公寓西园,商务住宅;住宅区;住宅小区,科宁路128号,118.842739,31.922851,江苏省,南京市,江宁区,
8576,殷巷新寓东1区,商务住宅;住宅区;住宅小区,清水亭东路39号附近,118.837893,31.917251,江苏省,南京市,江宁区,
8577,骏景华庭2期,商务住宅;住宅区;住宅区,铺岗街西100米,118.8354,31.916881,江苏省,南京市,江宁区,
8578,殷巷新寓(242幢-297幢),商务住宅;住宅区;住宅区,铺岗街2631号附近,118.83618,31.91803,江苏省,南京市,江宁区,
8579,万科金域蓝湾2期,商务住宅;商务住宅相关;商务住宅相关,临河路,118.8366,31.920861,江苏省,南京市,江宁区,
8580,恒大绿洲东区,商务住宅;住宅区;住宅区,殷富街184号附近,118.840973,31.914575,江苏省,南京市,江宁区,
8581,银城.千花溪(西门),商务住宅;商务住宅相关;商务住宅相关,殷富街东100米,118.842255,31.915173,江苏省,南京市,江宁区,
8582,潭桥公寓,商务住宅;商务住宅相关;商务住宅相关,竹山路512-6号,118.8464,31.920701,江苏省,南京市,江宁区,
8583,潭桥公寓(南园),商务住宅;住宅区;住宅小区,科宁路128号,118.846741,31.920983,江苏省,南京市,江宁区,
